Year,Month,Temperature,Gangwondo,Seoul,Gyeonggido,Incheon,Gyeongsangnamdo,Gyeongsangbukdo,Gwangju,Daegu,Daejeon,Busan,Sejong,Ulsan,Jeollanamdo,Jeollabukdo,Jeju,Chungcheongnamdo,Chungcheongbukdo,Sum
2000,1,-1.2,16219,662424,363014,139454,42129,55362,39465,86077,52992,85787,0,69241,22508,34507,0,20158,27838,1717175
2000,2,-0.99,16280,689177,375937,145834,42604,52863,40674,84069,53950,87282,0,70910,22310,33784,0,23492,27175,1766341
2000,3,6.64,14105,566528,323145,121324,35990,47282,34610,76144,41898,74476,0,63627,18033,29315,0,21156,22904,1490537
2000,4,12.11,10364,396231,237437,91421,28698,40393,25898,62514,28618,58316,0,47106,15920,19783,0,17447,16818,1096964
2000,5,17.59,6843,262940,169495,67239,21073,35083,18426,46992,17503,45915,0,43749,13808,14375,0,14508,12299,790248
2000,6,23.17,4169,156923,117805,41456,17748,31106,12810,38134,11228,37235,0,38363,12245,10366,0,12578,9415,551581
2000,7,26.52,2952,115375,95545,33061,17823,29174,11523,34704,10624,35084,0,37142,11211,9939,0,11354,8692,464203
2000,8,26.26,2800,108894,91000,32372,16218,29922,10695,32311,13005,33843,0,38071,11105,10051,0,11623,9412,451322
2000,9,20.79,3318,132168,112694,41109,17237,32785,10473,35313,15589,32947,0,40063,10241,11345,0,12234,9861,517377
2000,10,15.37,5256,198416,157466,53774,22823,38263,14911,44262,20239,42308,0,42432,13135,15237,0,15853,10552,694927
2000,11,7.65,9167,375408,235364,86283,33103,48419,24937,57888,33564,56572,0,58444,17400,24622,0,22412,19488,1103071
2000,12,1.8,13363,552680,321845,128131,43778,56130,36302,74298,50959,78019,0,74715,20939,32491,0,27445,25608,1536703
2001,1,-2.9,17984,729576,410693,159201,49501,66635,44101,86884,61917,96725,0,79536,24122,39428,0,33666,29840,1929809
2001,2,0.64,17409,720280,427205,153526,48532,61233,42977,89165,58110,89424,0,77488,22668,32705,0,30774,27436,1898932
2001,3,5.73,14384,571311,341766,129209,41972,54192,36286,73637,48510,77795,0,71076,20078,29577,0,27169,24187,1561149
2001,4,13.82,11013,411013,277196,104463,32131,43973,27094,61743,32954,56822,0,53504,15821,18696,0,22138,17281,1185842
2001,5,19.2,6152,224227,174798,70945,26078,37290,18069,46422,19815,46664,0,49405,12707,13120,0,18074,11957,775723
2001,6,22.51,3814,137772,119199,48581,22269,32770,13269,39094,14577,38669,0,42810,10957,10025,0,15946,9287,559039
2001,7,26.05,3124,124251,102949,45748,22148,25449,11124,35231,14840,40168,0,39269,10981,10446,0,16381,8992,511101
2001,8,26.53,2995,117712,97268,43242,16607,33686,11016,33264,14117,38200,0,36183,9425,10045,0,16651,8932,489343
2001,9,22.43,3063,113133,99125,47243,22080,34306,9781,35271,12298,34353,0,38472,10314,10173,0,16858,8574,495044
2001,10,16.65,4849,179805,139764,58146,22625,42100,12256,37875,18243,41332,0,45117,11872,15535,0,20852,12545,662916
2001,11,7.48,9039,344225,243964,93658,31556,51862,22598,56678,36075,59937,0,65964,18614,26992,0,28756,20894,1110812
2001,12,0.28,15021,583765,364170,139737,46723,56305,36057,76718,57683,98057,0,81788,25229,37638,0,36042,24022,1678955
2002,1,1.04,18001,723439,444297,162432,56890,70413,45615,88611,59954,104771,0,88571,25014,39060,0,39357,30473,1996898
2002,2,3.28,16547,647048,417268,147925,50189,59324,40693,86216,57008,85813,0,79743,21067,34579,0,34852,25755,1804027
2002,3,8.15,13898,519039,342306,130706,46879,58515,39172,72382,47982,79998,0,71828,19969,29838,0,32467,22368,1527347
2002,4,13.89,10149,376726,280578,105653,39471,47116,29382,61988,32359,60434,0,65519,17025,21297,0,27560,15377,1190634
2002,5,18.07,6541,236489,196282,80465,33363,42949,21698,52117,22797,55696,0,60417,17139,15558,0,23622,13084,878217
2002,6,22.16,4567,155955,139388,62234,26117,36784,16755,41624,15182,40901,0,48208,12624,11863,0,19939,9982,642123
2002,7,25.14,3641,140913,121043,54857,26563,36678,14071,38377,15960,44291,0,51644,12150,13412,0,20464,10091,604155
2002,8,24.31,3504,130075,110926,50902,25748,36088,13442,35734,16552,42784,0,49672,12038,12927,0,19628,10160,570180
2002,9,21.52,3969,140863,126622,54883,25833,37373,12971,40515,15578,41908,0,51484,10699,13057,0,20602,11203,607560
2002,10,13.41,6818,230347,183247,75715,32127,49095,17284,46157,24391,57671,0,59149,14849,20202,0,27685,18329,863066
2002,11,4.79,12737,490837,342573,126845,44368,62549,32059,74992,49374,87478,0,78898,20484,33937,0,38808,27646,1523585
2002,12,2.43,18513,639503,412328,155584,55590,73365,43828,87891,61724,100233,0,95845,24469,40070,0,42242,31764,1882949
2003,1,-1.74,22285,766566,518398,186837,65706,80975,52433,101032,72405,118287,0,99856,28606,47209,0,49881,37927,2248403
2003,2,3.16,20582,718842,487404,171339,62385,67966,51917,102470,64973,92207,0,93916,22712,37936,0,43850,29180,2067679
2003,3,6.85,16946,564530,389952,142050,56372,67514,44226,86657,53676,95874,0,88231,24030,34934,0,40321,28618,1733931
2003,4,13.37,12548,410916,314540,116187,48584,54531,34835,70576,43178,66351,0,69367,18438,23635,0,33048,18415,1335149
2003,5,19.2,8386,255721,213745,87282,38828,48380,24456,54233,25355,54113,0,62457,15298,16440,0,26058,14371,945123
2003,6,21.5,5543,162817,152922,64681,33089,41258,18603,43706,18042,44438,0,54424,13005,12864,0,22894,11175,699461
2003,7,23.29,4754,148318,135018,57188,29106,44898,16010,39406,19959,48232,0,52125,14523,12879,0,22044,10720,655180
2003,8,24.2,4598,138688,122540,54846,27239,40776,16746,37365,16800,43556,0,50393,12951,12767,0,22356,10300,611921
2003,9,21.28,5526,151316,137937,58261,27532,41614,15011,37955,16442,41907,0,51282,11370,13470,0,23547,11151,644321
2003,10,14.33,8544,220595,185754,75322,32605,54232,17742,46074,23167,56720,0,61604,16204,21336,0,30981,17629,868509
2003,11,10.06,13303,385661,296397,108769,42530,61111,28446,66453,38637,71407,0,71143,19787,28365,0,38073,23331,1293413
2003,12,1.59,19245,587227,407536,151558,59402,81888,43144,83506,63187,110352,0,102573,26968,46042,0,51104,34855,1868587
2004,1,-0.76,24635,728962,495189,174003,70716,93086,52963,94656,74866,121102,0,99079,29508,50004,0,56370,37627,2202766
2004,2,3,22786,775901,558371,189944,70576,88946,55136,108389,71987,107598,0,103819,28553,43927,0,54773,33480,2314186
2004,3,6.8,19212,609137,436496,154298,63405,84119,47549,86233,59872,97926,0,90367,26684,40227,0,51185,30647,1897357
2004,4,13.42,13960,426910,335821,119877,52971,65618,36506,70679,41350,67740,0,73773,19887,27496,0,39961,20094,1412643
2004,5,17.78,9098,268531,234521,91890,40384,57278,25399,50940,26890,55409,0,63298,16571,19996,0,33853,15396,1009454
2004,6,22.93,6201,183048,172702,68773,35374,50243,20210,42737,21787,47508,0,57428,14697,17357,0,28884,12638,779587
2004,7,25.06,5333,161432,145102,59721,32550,47765,17764,36598,21282,49918,0,54467,14204,15505,0,27376,12719,701736
2004,8,25.97,5020,150057,136582,57200,29443,44703,16498,35731,19509,45935,0,53979,13521,14854,0,25106,11586,659724
2004,9,21.73,5137,146712,141355,57393,29652,48172,14828,36417,16729,49663,0,54687,13443,15379,0,26603,12395,668565
2004,10,15.44,7993,212381,186770,74963,34898,60200,19549,41414,24132,62212,0,65218,17953,22474,0,35832,18266,884255
2004,11,9.65,13348,363212,298761,104388,45945,71371,29811,56775,40120,78082,0,77525,21883,32984,0,45825,24612,1304642
2004,12,2.94,20029,555894,410157,141126,62033,89758,43878,73206,61796,108765,0,101651,28479,45953,0,59338,34371,1836434
2005,1,-1.61,26339,792944,564940,200220,79318,112076,57917,100476,79811,141498,0,115164,35321,54904,51,69244,41841,2472064
2005,2,-1.05,25574,797092,578588,191225,77879,100194,58693,104565,77314,120795,0,108183,31084,49551,54,65842,35891,2422524
2005,3,4.74,23137,699199,483371,166042,77378,100360,55988,100610,71067,117617,0,101018,30054,47673,113,64129,34431,2172187
2005,4,13.56,16001,476270,380257,130778,60866,72300,42462,83880,46636,78098,0,79120,22836,30036,74,49815,21403,1590832
2005,5,17.79,10479,266934,246619,93120,45742,60311,28005,54244,27752,60239,0,67219,19077,21587,35,41286,15981,1058630
2005,6,22.73,7424,185066,182722,69579,38006,51020,22761,41997,23020,52114,0,58652,16011,19026,36,35721,13682,816837
2005,7,25.25,6329,159686,153642,61807,35422,42802,20077,37955,22115,53011,0,54392,16164,17788,41,34090,13447,728768
2005,8,25.36,6077,150731,144015,49036,33265,39936,19770,35619,19783,51029,0,51710,15255,16963,47,33485,12854,679575
2005,9,22.12,6358,152267,147477,65079,32804,42242,19514,34510,18637,50368,0,52394,12645,17055,46,35346,13620,700362
2005,10,15.09,9106,209466,200436,75852,38889,54984,22241,40172,25172,62665,0,66302,15786,26079,43,45056,20251,912500
2005,11,9.11,15181,380284,339377,108351,52966,71499,35125,58802,45547,89232,0,83904,22330,39141,81,58035,29273,1429128
2005,12,-2.79,25782,689615,518923,170911,78793,104682,50162,86828,81120,151269,0,130840,33108,59445,222,81718,47871,2311289
2006,1,0.59,31370,855091,659687,213458,92176,103690,75435,119383,85219,138368,0,121479,33364,61540,285,86529,44131,2721205
2006,2,0.93,27027,750218,519772,179342,85258,93923,64571,107399,75494,126509,0,110829,31605,57687,366,81164,40475,2351639
2006,3,5.91,23356,604141,489261,166789,78898,87658,56957,95726,65960,116205,0,102015,28426,50806,282,74037,36097,2076614
2006,4,11.86,18549,447163,344291,132697,65499,73887,47309,83837,43731,88159,0,84228,23817,39797,211,63184,27229,1583588
2006,5,18.18,12166,270270,224879,96184,52725,57369,34975,62716,24868,68708,0,74846,19838,29507,120,50642,19853,1099666
2006,6,21.83,8409,199176,165944,70917,43034,49413,26727,48053,21425,55641,0,63204,16450,23987,81,45599,16768,854828
2006,7,23.22,7410,168925,159916,68131,38400,47406,23270,40202,21793,57713,0,56383,15645,23327,65,43101,16523,788210
2006,8,27.13,7129,171756,156944,65297,36348,43178,22673,39132,22414,54026,0,58242,15322,22440,86,42881,16190,774058
2006,9,20.96,7259,151602,161361,67050,36210,48312,20417,37350,21488,55864,0,60890,15431,24886,120,47398,17712,773350
2006,10,18.17,9231,171860,187937,71647,38253,49847,22342,38784,24729,56650,0,65183,16150,28986,107,49539,19407,850652
2006,11,9.21,15614,388368,345652,111154,51888,72639,33223,53728,51084,89051,0,88078,23787,45827,254,71861,32358,1474566
2006,12,2.25,25744,634675,557698,171676,75663,97739,54716,83361,80791,135578,0,117194,33125,61020,426,91369,45797,2266572
2007,1,1.23,29933,783039,592264,189986,90994,104284,66948,106749,84052,141730,0,120162,36694,69254,504,103913,49591,2570097
2007,2,4.69,27490,693526,535574,176654,82545,89047,61486,103454,66541,116585,0,106226,30977,57305,394,86101,41691,2275596
2007,3,6.83,24438,594963,463664,157573,77816,88549,53753,91460,65117,118215,0,107411,31655,57854,390,88965,40152,2061975
2007,4,11.91,19651,461897,398232,143766,68392,74064,46519,82752,43286,88439,0,93848,25940,47000,252,78404,31466,1703908
2007,5,18.28,12791,271821,265045,105118,54038,56728,34795,57466,26288,65561,0,75201,20550,35616,146,62460,22892,1166516
2007,6,22.8,8926,201805,208443,80108,44184,49020,26983,42319,21439,58541,0,64843,17698,29256,143,54835,19363,927906
2007,7,24.12,7696,167823,170512,70277,41503,47917,23831,38418,22614,60636,0,63916,19787,29219,216,52874,19612,836851
2007,8,26.61,7390,173100,162539,66582,40116,45966,23138,38091,22787,56981,0,62309,20313,27493,318,51341,19597,818061
2007,9,21.79,7780,158759,155538,67697,35903,46864,21128,34939,22416,55387,0,58630,15355,27660,280,51685,20076,780097
2007,10,15.63,10067,219415,236853,88524,43174,59484,24271,39015,31681,69206,0,80862,22722,37789,327,65716,25792,1054898
2007,11,7.57,18160,442396,369127,120603,59919,82165,40045,57685,59243,100411,0,102614,30348,55663,537,84361,39531,1662808
2007,12,2.8,27498,679145,515906,174391,82829,103974,57954,85223,81706,141227,0,126189,37922,66377,755,99782,50817,2331695
2008,1,-0.54,33523,822116,625401,205553,98292,115716,69639,110188,90640,155821,0,143109,43127,76072,563,111684,58195,2759639
2008,2,-0.28,32224,806820,607184,203492,97802,105654,71743,108717,84597,146534,0,135438,41201,73778,580,101846,55078,2672688
2008,3,7.8,27477,611034,497872,177533,92338,94958,63336,107579,61710,120697,0,121093,35371,60395,470,92357,45410,2209630
2008,4,14.16,19314,397143,312491,124683,72356,77339,46497,79229,38323,91009,0,101813,29666,46172,304,75663,33819,1545821
2008,5,17.94,13001,246734,226450,95640,58285,61396,34251,57039,25729,69858,0,92722,25998,36141,217,61606,26629,1131696
2008,6,21.26,9963,207544,194680,80612,50042,56047,28064,44538,22633,61925,0,109968,29317,31604,286,54674,23148,1005045
2008,7,25.69,7902,176388,175805,72212,47470,53361,26309,43362,23904,64891,0,117444,29613,30491,249,53508,22709,945618
2008,8,25.32,7958,160502,162922,69483,40295,52809,22922,38445,21094,58397,0,126757,28075,27846,306,48598,21458,887867
2008,9,22.27,7932,161664,176131,69518,41799,56444,22046,37906,21717,60108,0,135819,28105,30821,225,52310,22060,924605
2008,10,16.61,11243,202281,235018,79590,47804,67658,25108,42476,30888,68743,0,150854,31747,37917,206,66293,28488,1126314
2008,11,8.3,19081,407992,404996,113531,59933,84191,38386,51668,58325,97666,0,110408,32334,51738,365,84438,41867,1656919
2008,12,2.11,29017,653645,579409,165183,85282,112776,57409,88983,83326,141608,0,124291,35735,68091,718,93608,53001,2372082
2009,1,-0.95,36207,820626,654319,201053,99668,124460,70967,111989,94929,165080,0,135859,41729,74089,930,103416,60112,2795433
2009,2,4,31574,696121,526339,175222,97399,104275,65830,113203,68225,121289,0,138701,34133,61507,666,94059,47496,2376039
2009,3,6.87,27149,576881,484151,156428,83781,102514,57926,89444,67938,124582,0,145850,36703,59964,710,87054,46408,2147483
2009,4,13.19,20597,416698,355844,128036,71710,84126,47904,81234,41026,90679,0,111750,29501,48028,571,72117,34621,1634442
2009,5,19.17,14426,262007,247458,91912,56286,69199,34863,55651,26817,69049,0,78844,23704,35328,385,58443,26844,1151216
2009,6,22.45,10728,192472,186133,72163,48705,65951,26969,43922,24253,65401,0,77178,22631,31513,414,55034,25844,949311
2009,7,24.12,9798,180838,189932,68849,47380,66184,22290,40699,25697,64788,0,83654,26725,31334,607,54980,26995,940750
2009,8,25.53,9320,174006,179518,68331,43571,63407,24638,38348,24873,61623,0,91545,22542,29287,621,50745,25249,907624
2009,9,22.03,9282,160670,186644,69821,45845,64312,23007,40756,24156,62182,0,96687,27021,35163,432,62413,27380,935771
2009,10,16.48,12263,206368,238411,76152,46774,74697,23900,39777,36041,70062,0,95913,25580,39077,393,70447,31490,1087345
2009,11,7.76,20760,425392,405589,121753,64569,98403,39622,59634,62157,109490,0,130682,34590,59711,735,97981,45439,1776507
2009,12,0.29,32399,708011,636701,192254,94741,127250,74447,91561,92212,156641,0,174200,50018,80836,1178,127049,64419,2703917
2010,1,-2.88,42634,905732,738025,224622,115062,150557,85311,126076,104838,179086,0,208943,55869,91374,1277,150098,76881,3256385
2010,2,2.32,36126,753012,610984,195088,106227,124237,64256,122397,74522,139496,0,189430,45638,75053,1011,122722,57384,2717583
2010,3,5.25,31185,603450,500288,161128,101967,128170,63205,106044,74573,143581,0,188431,48303,73523,876,118461,58705,2401890
2010,4,10.06,24563,482800,439879,145406,88237,109090,49294,98709,52510,114671,0,158440,40528,62172,700,104033,48017,2019049
2010,5,17.53,16210,301895,298335,108766,71382,86966,32024,71963,31200,79649,0,127245,32410,47875,436,83359,35268,1424983
2010,6,23.34,11806,201873,206875,76535,57597,75306,27036,51739,26185,70646,0,124526,28121,41066,383,73179,29741,1102614
2010,7,25.82,10814,177880,196387,70246,52079,69993,27494,45013,27274,68554,0,112857,28956,39954,596,71429,29039,1028565
2010,8,27.04,10476,172448,188842,68833,46736,70402,25214,42026,26496,65293,0,106078,27650,36276,603,62908,27974,978255
2010,9,22.38,10093,160852,191773,69354,44039,75023,25361,40138,27640,62398,0,103382,26040,36839,446,67190,29743,970311
