Year,Month,Temperature,Gangwondo,Seoul,Gyeonggido,Incheon,Gyeongsangnamdo,Gyeongsangbukdo,Gwangju,Daegu,Daejeon,Busan,Sejong,Ulsan,Jeollanamdo,Jeollabukdo,Jeju,Chungcheongnamdo,Chungcheongbukdo,Sum
2010,10,15.11,14333,236633,276305,87483,52247,89720,34562,43420,41214,77985,0,123986,31153,46965,426,85850,40710,1282992
2010,11,7.35,22781,442243,440497,129757,71019,110448,50413,61386,64219,113800,0,177906,41918,65956,692,111267,54391,1958693
2010,12,0.05,34518,694291,657112,190437,100625,141948,80998,93971,91736,160555,0,209526,51305,83796,1258,144743,75637,2812456
2011,1,-5.74,47123,928709,800313,233451,128711,173107,96670,130441,120524,200683,0,262746,60532,105055,1662,158359,93067,3541153
2011,2,2.18,40016,747800,594776,203072,113037,134139,67104,131182,75846,144076,0,212934,47901,84985,1275,128980,65330,2792453
2011,3,4.56,32380,611849,550237,170647,111930,142388,69596,119459,78309,145929,0,216982,48216,81649,1165,124944,68568,2574248
2011,4,11.42,24195,434383,415812,140579,89981,112429,46528,99321,53823,103964,0,204320,38939,63624,776,103267,50443,1982384
2011,5,18,17126,264979,287682,105088,70097,97074,33266,70045,38709,83354,0,175303,32707,52395,542,89520,42384,1460271
2011,6,22.26,12653,198037,231298,83313,59792,85819,27185,55822,30867,74142,0,165774,29433,44763,545,74595,37160,1211198
2011,7,25.09,12582,190898,224406,76184,55507,82062,26887,50864,32849,70169,0,160398,29894,43339,721,71093,38072,1165925
2011,8,25.84,11899,178319,216578,73544,51097,78442,25430,46054,31201,64615,0,147170,27700,42023,747,66087,35691,1096597
2011,9,22.12,11599,157947,207083,72299,49507,78801,26714,45890,31020,66426,0,161366,25385,43254,592,69234,37168,1084285
2011,10,14.73,16280,227152,303154,90064,57525,97105,36243,49613,46031,81153,0,191261,33099,55777,546,91360,48369,1424732
2011,11,11.36,21521,347194,402780,109145,71783,109101,44215,64437,56485,99190,0,219141,37562,62670,731,108805,53543,1808303
2011,12,0.29,35317,639756,645520,171694,95814,144802,78625,91544,98455,164255,0,265100,54181,88899,1451,152185,81516,2809114
2012,1,-1.55,44479,802350,763669,214146,120835,159092,85824,130060,116389,178441,0,270006,57098,101691,1573,160556,87616,3293825
2012,2,-0.93,42131,787565,711495,198234,126191,157314,80087,135280,107664,173008,0,267942,58251,96421,1594,163715,83915,3190807
2012,3,5.86,34754,598720,588434,173944,116782,150698,68239,122833,86729,144653,0,246244,55178,83988,1291,145171,71216,2688874
2012,4,12.93,25534,416297,408697,138957,93434,123783,44227,98983,57980,103329,0,196637,43905,66345,786,120475,53799,1993168
2012,5,19.66,16583,249110,264664,96550,71683,106270,32357,66907,38090,83927,0,190155,35251,50390,577,95838,44377,1442729
2012,6,23.58,13195,179056,224059,78591,61657,95838,26955,53681,34628,74280,0,183417,31965,44432,557,88155,40623,1231089
2012,7,25.77,12397,172678,226875,79402,58880,92196,28007,48485,34140,75623,0,214146,29267,45824,660,86051,41390,1246021
2012,8,27.26,12265,166074,215757,76094,53828,86203,25113,47203,32675,68263,0,218024,30265,44072,770,80702,38551,1195859
2012,9,21.21,11994,159054,228051,77963,51462,86297,28614,47008,31699,71611,0,225526,30823,45737,595,81941,40576,1218951
2012,10,15.59,16150,206878,307689,92137,59874,99313,37894,46836,44028,83074,0,275652,34516,57270,618,100769,51051,1513749
2012,11,6.44,26492,435852,503008,136687,78652,128664,56994,66297,77035,122244,0,298701,48539,75003,1092,135440,71078,2261778
2012,12,-2.62,42544,758147,772003,207142,111895,165657,84965,102559,121801,181273,0,352116,63414,101800,1565,182497,96861,3346239
2013,1,-2.16,50361,859992,821469,241088,138454,179607,88714,141067,123727,191681,10229,351014,69140,109876,1720,196450,97327,3671916
2013,2,0.15,43518,726761,652787,198397,124869,146931,73850,135172,94242,152480,8529,328057,59317,93427,1505,171482,78476,3089800
2013,3,6.43,33887,561111,556162,173043,113786,141697,63818,117930,76464,129635,7668,305735,55683,82345,1168,157717,72861,2650710
2013,4,10.66,27462,432767,450269,142623,95553,124850,49980,91649,66768,114522,7188,279040,52408,74975,922,146806,61158,2218940
2013,5,18.52,19899,264656,320129,106330,81921,107403,34267,78203,44186,88226,5247,216418,40533,55509,643,128468,48629,1640667
2013,6,23.94,14350,177247,240791,79312,65951,96017,28957,57502,33852,72521,4650,202079,39164,47296,620,109835,41878,1312022
2013,7,26.11,13333,169428,238256,74557,60638,90973,28656,49793,33298,73739,4217,219523,39200,48620,718,106313,41209,1292471
2013,8,27.91,12589,169099,240402,73926,55092,84565,26229,46580,32716,64914,3997,194442,35816,43839,763,99485,38371,1222825
2013,9,22.18,11910,142034,221272,78128,51468,83667,27119,44953,28683,63963,3962,200552,34855,45705,580,96042,37521,1172414
2013,10,16.34,15614,186230,312646,88547,64087,101158,36144,45505,41176,81580,4868,238703,43158,56255,641,114582,49207,1480101
2013,11,7.15,25678,407977,491759,129152,82706,126430,55877,63840,72092,117201,6508,273355,55149,77100,1106,152085,66814,2204829
2013,12,1.14,39272,633820,671109,184755,116825,156398,76752,98281,103335,167574,7822,292135,70536,99163,1703,180745,85325,2985550
2014,1,0.54,44996,718120,710319,203670,127549,165174,82031,127642,98534,175047,8080,299474,71917,102352,1906,187985,88449,3213245
2014,2,2.85,40500,644586,591477,182133,122613,142387,66673,127579,82128,150507,7431,268717,60821,94134,1622,168628,74050,2825986
2014,3,8.42,33860,485186,508507,153461,114280,140772,63957,113343,70584,143724,6984,262840,59086,84901,1494,159423,69638,2472040
2014,4,14.3,24335,313919,366954,122907,92739,116741,42747,93453,42695,101976,5184,210629,45548,65263,1018,115571,51272,1812951
2014,5,19.16,17757,217833,285990,97893,74325,98957,35564,66841,35423,84307,4557,204356,41372,55999,772,106000,46136,1474082
2014,6,22.85,14221,163909,237910,85215,63435,87479,28092,54532,30518,71273,3983,199817,36221,50207,716,97467,40045,1265040
2014,7,25.9,13001,163172,235321,89126,63052,89087,31189,50003,32070,74293,4317,207207,37433,50672,825,95424,42862,1279054
2014,8,24.86,12933,157410,220446,77491,54373,79823,27344,46301,28523,67698,4107,185877,35129,45419,831,86601,39834,1170140
2014,9,22.19,12557,149326,222473,74539,55458,83396,27069,44800,27547,70148,4071,171837,32453,47056,719,86693,39602,1149744
2014,10,15.98,15944,192532,289728,89021,66660,100843,34003,49402,37078,84946,4605,186261,38877,55290,772,104911,49432,1400305
2014,11,9.61,24917,368095,430224,118827,82754,117928,53959,65232,60714,109302,6374,183047,48496,73484,1174,126568,63093,1934188
2014,12,-1.34,41416,687116,697933,185645,116999,160790,87571,94334,104233,179852,9426,227257,66612,105850,2315,169644,93130,3030123
2015,1,0.34,48485,721215,721980,201372,134058,162966,79966,138481,98911,177213,8541,205417,68181,109370,2197,150979,89911,3119243
2015,2,2.05,41892,639880,586178,164543,120545,138424,70854,127917,79977,150835,8141,184462,59058,94828,2077,134360,77687,2681658
2015,3,7.2,35500,531629,549030,158984,119670,139643,64414,114680,75226,147748,10176,180948,58381,88585,1731,128831,76748,2481924
2015,4,13.57,27312,340889,389401,122507,96836,120329,43810,98482,46551,107319,6087,148666,43144,66837,1187,109006,58787,1827150
2015,5,19.28,18840,214447,278538,92939,73790,95019,33410,71953,31922,79994,4892,133048,36737,54212,843,93997,47181,1361762
2015,6,23.05,14159,171132,243880,79013,63844,87924,30980,51212,27763,74100,4720,130635,34249,48700,727,80570,41724,1185332
2015,7,25.37,13778,163786,236954,72786,61692,82536,31403,48644,28445,76227,4633,128698,35022,47117,922,78160,42897,1153700
2015,8,26.23,13349,155230,224262,73036,55011,74623,26483,45738,26311,65731,4376,120611,32019,43029,995,74956,39829,1075589
2015,9,22.1,12782,144961,223236,72631,55342,75950,28133,43159,25715,69307,4580,117583,32095,45892,865,73393,39337,1064961
2015,10,16.02,16248,184939,285803,82922,65250,91282,33841,45214,33892,84487,5037,119835,37827,57694,939,86266,47686,1279162
2015,11,9.99,24549,344623,418486,111740,77320,110962,48731,58412,55353,108315,6679,147685,48018,70198,1345,107863,59665,1799944
2015,12,3.06,37101,553480,605808,160979,104437,139724,74858,84385,86900,155706,8865,171496,62616,93745,2132,141963,81420,2565615
2016,1,-1.64,48582,716064,747043,195603,132090,164902,87343,120535,104506,192790,9402,193190,72772,109353,2865,166346,94062,3157448
2016,2,1.52,48745,683475,629848,186883,130490,149166,74309,136807,90673,172558,8629,179341,68722,101396,2549,149439,86666,2899696
2016,3,7.72,38001,508512,570929,169267,128914,140098,64217,124375,76252,148808,7951,165195,58372,90794,1997,134554,78297,2506533
2016,4,14.5,26277,308879,371281,121332,95715,112268,38927,96045,41355,103696,7904,147572,45280,64874,1324,103934,55983,1742646
2016,5,19.63,18331,210357,282460,95083,75418,93361,35547,64021,32652,85581,5643,113542,41672,55761,1065,89650,48928,1349072
2016,6,23.29,15267,174731,247825,79286,65984,83853,30622,52172,28160,75733,4920,106897,36874,45840,1010,81433,45040,1175647
2016,7,26.19,14908,177904,236697,76584,61463,83736,30846,47725,30005,73754,4888,104535,34677,45288,1154,78974,44090,1147228
2016,8,27.9,14137,163438,232126,73622,55027,78590,26752,42370,27323,66741,4551,91153,33710,42794,1154,74139,42507,1070134
2016,9,22.89,14018,141428,220105,71678,52648,78522,28054,42385,26462,70137,4291,105190,33460,42947,927,70045,41631,1043928
2016,10,16.56,17486,186829,290152,86933,64513,92082,36165,45170,35156,82216,5138,133243,39607,54238,1065,87478,49964,1307435
2016,11,7.85,29606,391774,478714,121168,84840,122024,60927,62818,67947,122259,7278,164814,55793,78644,1646,119414,70072,2039738
2016,12,2.6,43849,587147,662573,171253,116123,149385,81486,100613,93727,166731,12113,203597,67454,98495,2462,147208,85099,2789315
2017,1,-0.35,52606,694128,738070,193847,135232,169447,88857,127827,103290,188340,9370,219769,78042,108527,3031,163457,94853,3168693
2017,2,1.21,51137,688208,679661,197958,139176,159762,78192,141192,95251,176003,9335,221527,71157,103108,2755,159603,92183,3066208
2017,3,6.96,42353,512225,569022,167903,124427,148439,71957,119776,78249,156492,9311,209401,62931,91668,2414,140338,82669,2589575
2017,4,14.4,30265,328358,395028,121927,99271,115383,44729,102597,46601,108379,6288,203084,47556,67734,1458,111642,60622,1890922
2017,5,19.6,20219,203288,286693,94581,75844,101799,33398,66106,32514,82001,5493,143352,39985,52695,1053,93900,48907,1381828
2017,6,23,16744,172540,256973,77989,62493,87699,31259,51306,30593,79125,5344,110983,36738,49185,1004,82398,46976,1199349
2017,7,26.98,15776,181807,240135,73686,59081,82938,29064,46573,29559,76376,5138,101381,37037,48074,1190,80937,45278,1154030
2017,8,26.19,15682,161980,246109,73113,53477,82355,27118,41894,28185,72262,4852,98566,34129,46306,1185,76668,44115,1107996
2017,9,22.05,15611,153808,248170,73298,56498,84362,27923,44261,28173,75554,6029,139870,35142,47050,896,77641,46330,1160616
2017,10,16.57,20034,187466,285688,78338,56810,91096,33802,39268,34967,82870,5202,164677,38579,55746,1137,82283,48903,1306866
2017,11,6.79,31738,417030,523656,126656,84543,126723,64692,64221,70919,125300,8002,210905,59640,83215,1918,135842,73192,2208192
2017,12,-0.55,51720,731282,791139,205978,123307,167017,93418,111962,110379,204669,10635,289048,86119,108504,3075,174986,100886,3364124
2018,1,-2.52,64248,810317,859780,230689,157687,192264,99162,149169,120022,215573,11610,307958,89544,125735,3604,197928,113620,3748910
2018,2,-0.23,59603,777191,734548,217026,147553,167149,85736,159602,102075,186204,10682,279432,81484,113530,3237,183718,103041,3411811
2018,3,8.68,45518,522175,574296,173797,132026,153674,64500,130049,76744,157745,9122,241483,70542,89411,2231,142617,82881,2668811
2018,4,13.68,31685,335587,406962,124334,103930,122106,46220,98618,51805,108188,6886,219102,56414,69458,1430,117614,64482,1964821
2018,5,18.43,23395,233084,323762,102646,82058,101569,36281,67216,37547,93931,6059,216410,49887,58870,1152,96398,54697,1584962
2018,6,22.98,18138,183080,276297,87736,69725,88786,29809,53619,32943,77279,5913,199013,46380,52883,1076,86740,48469,1357886
2018,7,27.71,17658,187574,254270,80109,64856,88127,28832,43479,33409,77269,5091,204025,46511,52666,1234,84495,47267,1316872
2018,8,28.56,16514,159710,244585,77618,58538,85282,27299,42646,29866,71037,5289,197909,45527,50040,1313,77554,46384,1237111
2018,9,21.5,16019,152052,234572,72672,56243,83654,27767,42665,29892,72533,4558,200074,50447,48697,1065,75077,45104,1213091
2018,10,13.76,24370,228383,354863,83880,72720,108813,40971,44591,46461,94793,6104,206623,55795,67000,1315,112299,62025,1611006
2018,11,8.71,36408,389195,505850,134301,94004,136341,58508,69924,72355,125270,8069,238980,70025,84114,1807,147295,80902,2253348
2018,12,0.87,54089,643974,742185,189339,120767,172244,88935,102805,113070,182018,9973,289470,80130,111254,3113,182274,103621,3189261
2019,1,0.35,64031,754822,816518,224628,151007,188792,94441,144808,121150,210982,10604,266679,91532,124247,3586,198190,119471,3585488
2019,2,2.33,57335,662117,674005,193459,134834,156945,78279,139938,94051,167223,9477,229291,77767,105399,3048,169249,97249,3049666
2019,3,7.97,44251,479716,566102,169844,124158,147318,67716,123066,81762,144388,9058,241544,68924,91449,2589,153710,88160,2603755
2019,4,12.58,37240,371517,449495,136980,105551,129122,56687,96775,59249,121169,12855,235340,61576,78412,1742,144330,75629,2173669
2019,5,19.54,25458,227515,312516,100655,87309,112190,35978,74737,38260,90821,9750,182645,52249,62286,1275,127917,60017,1601578
2019,6,22.26,19393,172980,251155,79230,67558,92645,30620,53119,32260,79148,8332,182666,47072,52135,1143,103216,51350,1324022
2019,7,25.57,18474,172649,253612,73632,65362,91122,29962,44880,32747,78992,6353,159799,45014,52348,1347,91320,52078,1269691
2019,8,27.17,18141,160321,245814,70891,59523,87687,27158,44366,31262,73847,6280,130443,45830,48518,1509,83579,47703,1182872
2019,9,22.7,17433,155577,230876,73175,56694,86697,27524,40990,29972,73547,5297,138739,44120,49664,1262,79701,48827,1160095
2019,10,16.82,22461,185075,303799,80336,67652,102971,35496,46742,39586,87861,6261,163784,46841,60000,1270,97088,58294,1405517
2019,11,8.88,35295,364952,479011,122112,85643,129823,56887,63065,67135,117687,9411,189757,64823,80472,1923,131265,79029,2078290
2019,12,2.74,53828,588558,696142,179571,116918,170617,84351,99429,107218,182975,10629,224699,81864,103501,3153,171348,104658,2979459
2020,1,2.8,60387,667452,716886,188900,140280,177749,85780,138172,110897,190840,10640,236405,94564,115432,3448,182013,109718,3229563
2020,2,3.7,55573,615352,646635,177038,142026,164179,77148,139591,97843,167471,10263,208087,86743,102769,3039,173110,100459,2967326
2020,3,8.5,45021,465250,548419,153196,122379,148088,68148,118678,75545,149046,9913,196930,82662,94005,2077,146812,91568,2517737
2020,4,11.6,35828,339407,422650,121419,99483,127807,54697,93789,52499,115783,7749,160901,69487,77266,2403,122475,75045,1978688
2020,5,18.3,25504,226520,313666,93141,90207,94592,33476,71655,34019,84634,6909,98104,52219,52477,1272,93167,57852,1429414
2020,6,23.7,19134,170122,256888,74967,71466,82778,30024,47906,32165,73869,6423,91351,44249,45071,1200,80104,51661,1179378
2020,7,23.6,18346,160511,252344,67443,65757,88304,30522,42475,30395,77497,6479,99297,43281,46458,1281,73143,53692,1157225
2020,8,27,19076,163032,255222,70646,60523,84646,27561,45058,31906,70508,5599,94251,49039,43885,1506,70181,49460,1142099
2020,9,21.4,18822,147556,243817,72542,65264,88652,28120,43042,30307,70849,6069,101433,54253,48190,1179,86971,53589,1160655
2020,10,14.9,25946,213556,339823,78654,75071,103757,39428,44555,42001,85283,10268,119332,60416,61328,1414,109095,61315,1471242
2020,11,9,35632,375289,497221,115663,101609,135432,58120,67054,69624,122943,12087,147792,68793,82360,2161,142556,82499,2116835
2020,12,0.8,57301,636178,742863,179536,149527,183273,94589,101139,110897,200163,11875,221037,97863,113880,4220,198939,114597,3217877
